CIK,Ticker_Symbol,Company_Name,Sector,Data_Date,Market_Capitalization,Total_Assets,Total_Liabilities,Net_Income_Before_Extra_Items,Cash_Flow_From_Operations,Total_Long_Term_Debt,Current_Assets,Current_Liabilities,Common_Shares_Outstanding,Total_Sales,Cost_Of_Goods_Sold
0000001750,AIR,AAR CORP,Capital Goods,2009-05-31,571.5948,1377.511,720.616,80.6,64.451,392.984,851.312,254.418,38.884,1423.976,1110.677
0000001750,AIR,AAR CORP,Capital Goods,2010-05-31,777.8348,1501.042,754.692,44.628,153.156,336.191,863.429,325.55,39.484,1352.151,1065.902
0000001750,AIR,AAR CORP,Capital Goods,2011-05-31,1049.8206,1703.727,868.438,70.86,108.598,329.802,913.985,416.01,39.781,1775.782,1408.071
0000001750,AIR,AAR CORP,Capital Goods,2012-05-31,485.2897,2195.653,1329.631,65.178,94.217,669.489,1063.272,473.226,40.273,2074.498,1662.408
0000001750,AIR,AAR CORP,Capital Goods,2013-05-31,790.0029,2136.9,1217.4,53.0,162.9,622.2,1033.7,389.0,39.382,2167.1,1714.5
0000001750,AIR,AAR CORP,Capital Goods,2014-05-31,961.308,2199.5,1198.8,71.4,139.8,564.3,1116.9,402.1,39.56,2035.0,1581.4
0000001750,AIR,AAR CORP,Capital Goods,2015-05-31,1046.3954,1515.0,669.9,-54.8,-43.0,85.0,954.1,412.0,35.423,1594.3,1342.7
0000001750,AIR,AAR CORP,Capital Goods,2016-05-31,842.5112,1442.1,576.3,40.0,32.1,136.1,873.1,329.0,34.515,1662.6,1354.9
0000001750,AIR,AAR CORP,Capital Goods,2017-05-31,1200.3288,1504.1,589.9,49.7,21.8,155.3,888.5,335.1,34.354,1767.6,1422.7
0000001750,AIR,AAR CORP,Capital Goods,2018-05-31,1551.458,1524.7,588.4,73.1,64.3,177.2,942.7,333.3,34.716,1748.3,1413.2
0000001750,AIR,AAR CORP,Capital Goods,2019-05-31,1046.7709,1517.2,611.3,83.7,67.4,141.7,952.5,357.5,34.788,2051.8,1679.5
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2009-12-31,83747.5603,52416.623,29517.894,5732.838,7275.16,11266.294,23313.891,13049.489,1551.168,30764.707,10816.819
